"File"	"Speaker"	"Wordcount"
"DPC078"	"??"	2
"DPC078"	"AS"	1405
"DPC078"	"MG"	271
"DPC078"	"PP"	406
"DPC078"	"XX"	981
"DPC079"	"AC"	1153
"DPC079"	"BD"	871
"DPC080"	"AT"	1087
"DPC080"	"BU"	920
"DPC082"	"BB"	895
"DPC082"	"RT"	1153
"DPC083"	"AN"	464
"DPC083"	"BA"	1023
"DPC083"	"CH"	495
"DPC089"	"AQ"	1069
"DPC089"	"BG"	1167
"DPC090"	"LN"	1102
"DPC090"	"MR"	609
"DPC090"	"SA"	306
"DPC091"	"AL"	159
"DPC091"	"BJ"	1931
"DPC093"	"BB"	827
"DPC093"	"JN"	387
"DPC093"	"SS"	814
"DPC096"	"AT"	2206
"DPC096"	"BG"	1083
"DPC097"	"AU"	1178
"DPC097"	"BY"	814
"DPC098"	"??"	1
"DPC098"	"AI"	1048
"DPC098"	"BN"	1069
"DPC111"	"AU"	713
"DPC111"	"CR"	1163
"DPC111"	"EL"	123
"DPC112"	"AE"	824
"DPC112"	"BF"	965
"DPC112"	"CG"	150
"DPC112"	"DH"	58
"DPC115"	"AT"	1362
"DPC115"	"BR"	613
"DPC118"	"KA"	1072
"DPC118"	"LU"	405
"DPC118"	"TS"	664
"DPC119"	"AN"	918
"DPC119"	"KI"	1014
"DPC120"	"FN"	1120
"DPC120"	"MQ"	1093
"DPC121"	"AR"	621
"DPC121"	"BT"	1526
"DPC123"	"TM"	1107
"DPC123"	"VV"	986
"DPC124"	"AR"	1011
"DPC124"	"CH"	976
"DPC125"	"AI"	1279
"DPC125"	"BR"	826
"DPC125"	"X1"	41
"DPC125"	"X2"	19
"DPC126"	"MI"	504
"DPC126"	"TA"	585
"DPC127"	"HL"	610
"DPC127"	"PC"	1465
"DPC128"	"AD"	850
"DPC128"	"CJ"	623
"DPC128"	"NN"	624
"DPC129"	"BN"	210
"DPC129"	"CH"	437
"DPC129"	"RG"	377
"DPC130"	"AM"	154
"DPC130"	"MG"	965
"DPC130"	"TM"	885
"DPC131"	"AI"	815
"DPC131"	"CF"	152
"DPC131"	"DP"	778
"DPC131"	"GB"	251
"DPC132"	"KL"	412
"DPC132"	"MP"	795
"DPC132"	"RA"	819
"DPC133"	"AS"	1220
"DPC133"	"BO"	1055
"DPC133"	"KJ"	53
"DPC136"	"AT"	692
"DPC136"	"BD"	1191
"DPC138"	"AA"	988
"DPC138"	"BC"	1018
"DPC139"	"??"	1
"DPC139"	"JN"	190
